Player,Position,Draft Year,Draft Age,Class,School,Height,Weight,Wingspan,Standing Reach,RSCI Ranking,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,PProd,College OBPM,College DBPM,College BPM
Julius Randle,PF,2014,0.8333333333333334,FR,Kentucky,0.3854166666666667,0.8333333333333334,0.25,0.22916666666666666,2,0.375,0.14583333333333334,0.7916666666666666,0.71875,0.8125,0.6875,0.041666666666666664,0.10416666666666667,0.29166666666666663,0.7083333333333334,0.9375,0.5520833333333334,0.16666666666666666,0.3333333333333333
Tyler Zeller,PF,2012,0.10416666666666663,SR,North Carolina,1.0,0.75,0.25,0.0625,19,0.65625,0.53125,0.7708333333333334,0.3541666666666667,0.4583333333333333,0.16666666666666666,0.3854166666666667,0.5208333333333334,0.7708333333333334,0.4791666666666667,0.84375,0.6875,0.6979166666666666,0.8125
Markieff Morris,PF,2011,0.25,JR,Kansas,0.3854166666666667,0.5625,0.09375,0.4166666666666667,52,0.8958333333333334,0.875,0.8958333333333334,0.71875,0.8958333333333334,0.7395833333333334,0.6979166666666666,0.5,0.27083333333333337,0.7395833333333334,0.5625,0.7395833333333334,0.625,0.7916666666666666
Kelly Olynyk,PF,2013,0.1875,JR,Gonzaga,0.9583333333333334,0.3958333333333333,0.052083333333333336,0.625,151,0.9375,0.9166666666666666,0.5833333333333334,0.6041666666666666,0.5833333333333334,0.8958333333333334,0.3125,0.3541666666666667,0.125,0.8958333333333334,0.2708333333333333,0.8958333333333334,0.4166666666666667,0.7708333333333334
Mike Scott,PF,2012,0.04166666666666663,SR,Virginia,0.22916666666666666,0.5625,0.09375,0.020833333333333332,130,0.7916666666666666,0.625,0.1875,0.8125,0.6875,0.7083333333333334,0.19791666666666666,0.020833333333333332,0.6041666666666667,1.0,0.7083333333333334,0.9166666666666666,0.375,0.8333333333333334
Dwight Powell,PF,2014,0.08333333333333337,SR,Stanford,0.8125,0.4166666666666667,0.3333333333333333,0.14583333333333334,34,0.08333333333333333,0.020833333333333332,0.0625,0.4791666666666667,0.16666666666666666,0.9583333333333334,0.8125,0.16666666666666666,0.10416666666666663,0.6041666666666666,0.4791666666666667,0.041666666666666664,0.5625,0.125
Kyle O'Quinn,PF,2012,0.16666666666666663,SR,Norfolk State,0.6666666666666666,0.5625,0.9166666666666666,0.4166666666666667,161,0.7083333333333334,0.65625,0.6458333333333334,0.8645833333333334,0.875,0.6666666666666666,0.08333333333333333,0.8645833333333334,0.3125,0.5,0.75,0.17708333333333334,0.08333333333333333,0.08333333333333333
Jaxson Hayes,PF,2019,0.9375,FR,Texas,0.90625,0.125,0.8020833333333334,0.90625,126,1.0,1.0,0.10416666666666667,0.125,0.07291666666666667,0.020833333333333332,0.2604166666666667,0.9166666666666666,0.7291666666666667,0.0625,0.041666666666666664,0.3958333333333333,0.9166666666666666,0.75
John Collins,PF,2017,0.7916666666666666,SO,Wake Forest,0.5625,0.2916666666666667,0.16666666666666666,0.4166666666666667,134,0.8645833333333334,0.7916666666666666,0.9583333333333334,0.6666666666666666,0.7604166666666666,0.0625,0.10416666666666667,0.6666666666666666,0.6875,0.9166666666666666,0.4375,0.7916666666666666,0.041666666666666664,0.3125
Jeremy Sochan,PF,2022,0.875,FR,Baylor,0.6875,0.4583333333333333,0.3541666666666667,0.71875,156,0.1875,0.3333333333333333,0.7291666666666666,0.5208333333333334,0.5208333333333334,0.625,0.8541666666666666,0.3958333333333333,0.16666666666666663,0.041666666666666664,0.0625,0.20833333333333334,0.8125,0.4270833333333333
